depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
68.676,2.28781496162135e-06,5.55531582288318e-06,1.07530665506742e-06
68.81,2.49175771670336e-06,5.71508504124067e-06,3.15193562418443e-07
68.944,2.29813395114844e-06,5.4129410990941e-06,3.60293605915616e-07
69.09,2.2511222231813e-06,5.45076523883857e-06,8.62474989125707e-07
69.212,2.87392379337306e-06,6.37029206582802e-06,4.67722923010004e-07
69.346,2.42315857675763e-06,5.57890117877731e-06,1.87494562853415e-07
69.479,2.49631283727496e-06,5.77383226278339e-06,5.23971291866029e-07
69.612,2.20896187113822e-06,5.24824766524797e-06,2.50837320574163e-07
69.745,2.28776364639824e-06,5.44137774776226e-06,5.38666811657242e-07
69.878,2.42338972417244e-06,5.68216432566047e-06,6.29373640713354e-07
70.011,2.51136227843209e-06,5.8188310744946e-06,5.99982601130926e-07
70.144,2.80923059908751e-06,6.28005650939159e-06,5.02688125271857e-07
70.277,2.6088915545735e-06,5.92593099500788e-06,3.66374510656807e-07
70.41,2.14517081462054e-06,5.28989283241348e-06,8.72609830361027e-07
70.543,2.52050954662173e-06,5.82395890511232e-06,5.41200521966072e-07
70.675,2.19488529833483e-06,5.3187798101287e-06,6.35961287516311e-07
70.807,3.15656677442376e-06,6.82292819315334e-06,3.94245324053937e-07
70.939,2.26556921639187e-06,5.44144846951925e-06,6.64845585036973e-07
71.071,2.14366605202211e-06,5.17824100952121e-06,3.69414963027403e-07
71.203,2.11782805750828e-06,5.19163915133164e-06,6.11130926489778e-07
71.335,2.41871746351761e-06,5.68176048260688e-06,6.18732057416268e-07
71.467,2.36546014067885e-06,5.57484858141593e-06,5.23464549804263e-07
71.731,2.25639124203166e-06,5.43584282254303e-06,6.83595041322314e-07
71.863,1.46429186004937e-06,4.1785171128573e-06,7.98875402866351e-07
72.127,2.19988783376596e-06,5.32321005218103e-06,5.79206176598521e-07
72.259,2.76676252491261e-06,6.29795465754455e-06,8.21428882122662e-07
72.391,2.25913568600581e-06,5.37080226149025e-06,3.56746411483254e-07
72.523,2.02646994729695e-06,4.98567012970404e-06,3.18740756850805e-07
72.654,2.49904201923114e-06,5.78975907491479e-06,4.81404958677686e-07
72.785,2.17018134948306e-06,5.25023190193799e-06,4.51000434971727e-07
73.047,2.3510379989792e-06,5.64354044006708e-06,8.86291866028708e-07
73.309,1.98175446305305e-06,5.00551725132527e-06,7.07411918225315e-07
73.44,1.77109712843798e-06,4.60261039173398e-06,4.33771204871683e-07
73.57,1.82925606273409e-06,4.704401223757e-06,4.63162244454111e-07
73.7,2.21892966244299e-06,5.33197972408253e-06,4.3727916788474e-07
73.96,2.28962538577616e-06,5.46265754979566e-06,5.00348278637346e-07
74.09,2.22149121479e-06,5.32041288325781e-06,3.56746411483254e-07
74.22,2.20903772695911e-06,5.27262712744872e-06,2.31074380165289e-07
74.35,2.06845185304901e-06,5.11177856792636e-06,5.26505002174859e-07
74.48,2.27205759718889e-06,5.45628288401458e-06,5.83766855154415e-07
74.61,2.41580968624378e-06,5.71288093000243e-06,6.82074815137016e-07
74.74,2.48452085351023e-06,5.76129180400233e-06,3.98299260548064e-07
74.87,2.45496216694143e-06,5.68676009001975e-06,2.77187907785994e-07
75,2.61123868279172e-06,6.07578285092217e-06,8.71089604175729e-07
75.129,2.59518154791653e-06,5.93172577291863e-06,3.45091344062636e-07
75.258,2.357427117151e-06,5.55102768945473e-06,3.66881252718573e-07
75.387,1.59423609134378e-06,4.48285894142741e-06,1.12699434536755e-06
75.645,1.93947138356018e-06,4.91226008719842e-06,5.36639843410178e-07
75.774,2.12480667033769e-06,5.18889179466231e-06,4.23636363636364e-07
75.903,2.31212403570931e-06,5.49744522691087e-06,4.37318399304045e-07
76.032,3.00746115881251e-06,6.59976335987441e-06,3.06578947368421e-07
76.161,2.80339138979229e-06,6.35741775068724e-06,6.98797303175294e-07
76.29,2.41719411373416e-06,5.69849662020061e-06,5.59443236189648e-07
76.419,2.2182601570066e-06,5.37496944470897e-06,5.56402783819052e-07
