depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
707.2678,3.95398327978304e-07,5.4875338960072e-06,5.00054351189479e-07
707.2921,7.41288218929521e-07,6.2223213947763e-06,2.16471874493545e-07
707.3164,8.48439750830917e-07,6.54846547666053e-06,4.30734748204885e-07
707.3407,9.22004256023567e-07,6.77833225616501e-06,5.96093679972047e-07
707.365,1.57826542503922e-07,5.09195245639608e-06,1.02939923007374e-06
707.3893,2.05006830902336e-07,5.18963117396649e-06,9.82903512831794e-07
707.4136,0,4.67258957169083e-06,9.00940118128359e-07
707.4379,3.93376093305828e-07,5.38057516388416e-06,1.86889004272922e-07
707.4622,4.27373465776791e-07,5.51318346928409e-06,3.44195112390895e-07
707.4865,5.23232314367229e-07,5.80362519065804e-06,5.31798044662361e-07
707.5108,7.11173073857819e-07,6.23684903866549e-06,4.81895824872678e-07
707.5351,8.93436088597442e-07,7.16431370666175e-06,1.98926281707146e-06
707.5594,0,5.44411786285442e-06,3.2668899953352e-06
707.5837,0,4.53101426058641e-06,4.66788715309607e-07
707.608,2.98393860990961e-07,5.33298973466681e-06,7.37593889796785e-07
707.6323,2.02043606500298e-07,4.97969567986657e-06,3.60853645347064e-07
707.6566,2.35256422638802e-07,5.00577638803871e-06,1.97238996809573e-07
707.6809,2.86613385070738e-07,5.1372417208655e-06,2.23719466354273e-07
707.7052,8.27687292634948e-07,6.41504643876649e-06,1.73800150835461e-07
707.7295,9.97502018519066e-07,6.85896507320467e-06,2.89636265328874e-07
707.755,1.50644736426917e-07,5.18744700660137e-06,1.37491409049489e-06
707.781,1.29298745122346e-07,5.49341001388577e-06,2.46973093370928e-06
707.807,6.06960496920315e-09,5.19005202724398e-06,2.44326151952422e-06
707.833,1.76737243191577e-07,4.99491743335974e-06,5.93137035719332e-07
707.859,6.21110249099688e-07,5.99563630727753e-06,4.02747475252094e-07
707.885,1.24290592635628e-06,7.44037952735609e-06,2.72719166315904e-07
707.911,1.47064797001365e-06,7.96968565900088e-06,2.25545553666193e-07
707.937,1.37058530259546e-06,7.74445132559256e-06,2.68738123540352e-07
707.9644,9.5212559459864e-07,6.83330469390563e-06,5.43751563075696e-07
707.9903,6.74497045427138e-07,6.06124990888816e-06,2.12401196311879e-07
708.0162,6.42686777349937e-07,6.01064116026587e-06,2.90512029786519e-07
708.0421,1.17267631841706e-06,7.27384108396497e-06,2.77102195873385e-07
708.068,1.63679404546533e-06,8.36569359119235e-06,2.21366897073475e-07
708.0939,1.5891920992445e-06,8.32265253154775e-06,4.38505695611622e-07
708.1198,3.18671680315896e-07,5.50703151001527e-06,1.12258233396753e-06
708.1457,3.51315707851439e-07,5.37370787321106e-06,4.74313873679139e-07
708.1716,3.58703371648102e-07,5.72605901791846e-06,1.50064189537621e-06
708.1975,0,4.63350628753831e-06,7.81088270308201e-07
708.2234,2.66759832974454e-07,5.12194512406393e-06,3.22423414871765e-07
708.2493,1.16386483381358e-06,7.55386843573182e-06,1.20045342236446e-06
708.2752,8.7332728872249e-07,6.59394209425447e-06,3.87659300839582e-07
708.3011,1.27601076125525e-06,7.58901044058413e-06,4.85705961458706e-07
708.327,1.0672324678868e-06,7.03951427704228e-06,3.31879276768437e-07
708.3529,1.10045449001876e-06,7.16994713052746e-06,4.88200857300495e-07
708.3788,1.03916351825036e-06,7.25679830335983e-06,1.20406358091299e-06
708.4047,1.42656892198193e-06,8.43667351384711e-06,1.98088857635667e-06
708.4306,4.52730826661143e-07,6.48257597832914e-06,3.13093182005697e-06
708.4565,2.16542585094666e-07,5.186759353783e-06,8.89490053355164e-07
708.4824,1.64816118598233e-07,5.23995852448899e-06,1.43200731287698e-06
708.5083,1.1764158780458e-07,4.93348814241899e-06,8.38185366090963e-07
708.5342,1.26826121665072e-07,4.80321891360942e-06,3.71342694897422e-07
708.5601,7.30129900668992e-07,6.2009649846161e-06,2.32819400159939e-07
708.586,9.50819305110229e-07,6.75252531879566e-06,3.05616230683138e-07
